"","Entrez","Ensembl","HGNC","SU-aGBM5_DMSO_1","SU-aGBM5_DMSO_2","SU-aGBM5_DT24_1","SU-aGBM5_DT24_2","SU-aGBM5_DT48_1","SU-aGBM5_DT48_2"
"7222","7730","ENSG00000188629","ZNF177",0,0,0,1,0,0
"9810","10781","ENSG00000174652","ZNF266",401,418,353,461,553,646
"20926","147741","ENSG00000198028","ZNF560",136,174,114,158,142,123
"16395","79088","ENSG00000130818","ZNF426",228,233,158,288,230,330
"7182","7675","ENSG00000197961","ZNF121",193,229,115,168,209,216
"18945","93134","ENSG00000171469","ZNF561",856,830,890,987,984,1163
"23416","284385","ENSG00000267106","ZNF561-AS1",93,84,111,135,101,118
"14001","54811","ENSG00000171466","ZNF562",700,721,441,532,564,601
"33196","100131614","ENSG00000239830","RPS4XP22",1,0,0,0,0,0
"21578","162993","ENSG00000196605","ZNF846",57,60,64,60,58,59
"14034","54850","ENSG00000127452","FBXL12",430,344,414,391,461,521
"32673","100129975","ENSG00000267119","RPL10P15",0,0,1,0,1,0
"15760","59286","ENSG00000198258","UBL5",1146,1231,1216,1260,1222,1509
"42072","100996288","ENSG00000267289","PIN1-DT",0,0,0,0,1,3
"4999","5300","ENSG00000127445","PIN1",1963,2024,1697,1782,1956,2196
"18947","93145","ENSG00000105088","OLFM2",8,7,7,23,8,36
"12951","50509","ENSG00000080573","COL5A3",0,0,0,0,2,1
"12982","50700","ENSG00000080511","RDH8",0,0,0,0,0,0
"25500","388503","ENSG00000167798","C3P1",0,0,0,0,0,0
"40534","100847093","ENSG00000266204","MIR5589",0,0,0,0,0,0
"14469","55337","ENSG00000130813","SHFL",336,279,413,333,475,613
"17762","83854","ENSG00000130812","ANGPTL6",0,4,2,5,9,6
"30426","692312","ENSG00000243207","PPAN-P2RY11",0,0,0,0,0,0
"15010","56342","ENSG00000130810","PPAN",52,41,29,36,21,23
"30410","692229","ENSG00000209645","SNORD105",0,0,0,0,0,0
"31770","100113382","ENSG00000238531","SNORD105B",0,0,0,0,0,0
"4766","5032","ENSG00000244165","P2RY11",53,48,34,28,32,53
