"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RBP1",22622.7677440054,1.28070913550204,0.0603694769410511,21.214514360504,7.01473436082591e-100,9.97829261079007e-98
"NMNAT3",872.488466011887,1.04476787950386,0.133548841622866,7.82311450109188,5.15321921777575e-15,7.3724599843581e-14
"TRIM42",79.9366455784699,-0.980494481662209,0.343119606152071,-2.85758803659751,0.00426874200642114,0.0138333544386865
"PXYLP1",1433.25244723995,-0.527860802448049,0.0932176232923902,-5.66267175459236,1.49034080422314e-08,1.21637870228835e-07
"RASA2",2907.70789614067,-0.602172541207643,0.0669686970014444,-8.99185094186102,2.43101264633145e-19,4.44970648107924e-18
"CHST2",12490.5220636642,-1.22828300219153,0.0594955499424072,-20.6449558560351,1.08361490497804e-94,1.3715993407417e-92
"SLC9A9",720.882124873662,0.741538471271248,0.122236754582188,6.06641164358354,1.30799629997896e-09,1.19927763882663e-08
"PLOD2",9158.97303682519,0.561996799118562,0.0511560406513436,10.9859322958334,4.46603430006096e-28,1.26814996778917e-26
"PLSCR4",2889.55041875623,1.90186167376219,0.0752613562131254,25.2700956966082,6.81180336987811e-141,1.84983809331817e-138
"PLSCR1",7335.29592943362,0.677143684539826,0.147227702681924,4.59929532421457,4.23922461851956e-06,2.47913308152734e-05
"ZIC4",777.518439726247,0.624736437120708,0.13121941268368,4.76100619827271,1.92630131416648e-06,1.19184906497061e-05
"AGTR1",367.933382782581,-1.65866293498592,0.162023382615671,-10.2371824869276,1.35113826803547e-24,3.17804742856343e-23
"CP",134.296053260613,3.35018508865237,0.321671103350767,10.4149395259765,2.11932233492463e-25,5.1977337265081e-24
"TM4SF1",5015.86261529091,-1.01461849734702,0.0577317751130014,-17.5746977355373,3.84936332797294e-69,3.10778868468129e-67
"WWTR1",63333.8544684334,-0.795941317221072,0.0418277722798718,-19.0290152651541,9.80784362619037e-81,9.83154042958251e-79
"RNF13",4484.78668508681,0.61792527569218,0.0639438199918446,9.66356523227718,4.30611331730112e-22,9.03316130719234e-21
"SELENOT",30292.7619730287,-1.11583044668182,0.0504553261115503,-22.115216225436,2.25625003164302e-108,3.70322532666156e-106
"MED12L",966.540134401086,-0.932404957380214,0.104880346373288,-8.8901780898169,6.10110428912601e-19,1.10589919493187e-17
"MBNL1-AS1",328.301067386383,1.09907469226649,0.174891527848015,6.28432209261511,3.29287377363471e-10,3.20615141349466e-09
"P2RY1",560.919095873863,-0.61232770642047,0.134147607485206,-4.56458164181572,5.00491403963151e-06,2.88511756449001e-05
"ARHGEF26-AS1",48.9080496316494,1.12096408199056,0.439493756754123,2.55058021817973,0.0107543771811863,0.0310499262502384
"ARHGEF26",3247.32931621268,0.510861685617539,0.0662397917994159,7.71230814197764,1.23562349931428e-14,1.71676954286122e-13
"MME",96.0805980445392,1.7233248837364,0.337836980259381,5.10105460454118,3.37766087813591e-07,2.30781074454886e-06
"PLCH1",629.693823831126,3.35891221005269,0.156087567635268,21.5194090146981,1.02460051344627e-102,1.51519141275579e-100
"GMPS",12660.7590813437,-0.509979446158894,0.0469099767641368,-10.8714495580134,1.57675544999363e-27,4.37740137567004e-26
"SSR3",67740.621241673,-0.658226419277991,0.0428356331636744,-15.3663287002883,2.75335429971406e-53,1.56962213055455e-51
"LINC00886",191.37999355516,0.567602197199454,0.220314289006666,2.57632947803164,0.0099855445255815,0.0291183313225469
"VEPH1",3505.27586026764,-2.21424229071206,0.068175114952729,-32.4787467134798,2.1283337846779e-231,1.18672706808123e-228
"PTX3",4706.03844744592,-2.15916760403426,0.0690354576935888,-31.2762119086345,9.82972023803354e-215,4.73602262823448e-212
"SLC66A1L",96.2989169115925,1.64356558081424,0.318682534484716,5.1573757673032,2.504349007327e-07,1.74544828620794e-06
"SHOX2",760.17184382013,0.537797317275657,0.117686143438216,4.56975903503878,4.88285307545326e-06,2.82347245586411e-05
"RARRES1",230.343707932147,1.06340788802792,0.218438435599366,4.86822699086846,1.12603946964375e-06,7.17820124566753e-06
"SCHIP1",92.0931291564637,1.03319138767463,0.352082541055217,2.93451468674953,0.00334069743061025,0.0111675597187992
"IL12A",32.5422391950208,-1.78098956824947,0.610241286958984,-2.91850061002047,0.00351719187094984,0.0116765454066474
"PPM1L",1156.75699840685,0.550142306783507,0.0967993267239529,5.68332782264461,1.32098708898954e-08,1.08467636949686e-07
"SPTSSB",534.884329809564,-1.99015356639019,0.149393096020853,-13.3215899489251,1.73375451550638e-40,7.4411946677021e-39
"BCHE",1064.40485386542,0.893758855531708,0.114001847141331,7.83986293155136,4.51038498791997e-15,6.51519440808247e-14
"WDR49",30.7594024920907,1.77861152187084,0.612108606762521,2.90571232330489,0.00366418157045624,0.0121053342040111
"SERPINI1",3589.73553362492,-1.36617557342704,0.067246041257195,-20.3160743426048,9.26995133850476e-92,1.1348851900976e-89
"ACTRT3",219.588870725027,1.01792503193225,0.222769329646572,4.56941282512816,4.89092548088401e-06,2.82704578105586e-05
"SKIL",4899.45995280885,0.874551416892005,0.0706343271890919,12.3813937457178,3.29569285934641e-35,1.1947686540582e-33
"CLDN11",1648.75539631688,1.92074374348628,0.0986012397292662,19.4799147430616,1.62549958298635e-84,1.72187672138185e-82
"SLC7A14",189.131996625818,1.60495757023995,0.262901446119457,6.10478791170547,1.0293727766314e-09,9.52584373715402e-09
"TNFSF10",40.9435770839968,1.34955484211269,0.489608964883165,2.7563932421759,0.00584426873011686,0.0182997898853303
"NLGN1",265.693196136915,0.767020119811004,0.194379144073202,3.9460000889918,7.94675837827077e-05,0.000378605368860773
"TBL1XR1",4229.14187391674,0.518361057030353,0.0687615337988245,7.53853249619069,4.75289551439798e-14,6.34398993771655e-13
"LINC02015",12.3359511642449,3.56106859348489,1.10234663280038,3.23044357149114,0.00123598299442686,0.00461400699944002
"ZMAT3",3655.20748720677,0.656686606695315,0.0703377024756907,9.33619642925174,9.98569971076136e-21,1.9573019800516e-19
"PIK3CA",1084.4313683111,0.518926246113271,0.10005308709263,5.18650909424559,2.14272565130397e-07,1.5053504387524e-06
